Image_ID, shops shutter,Bike,Motor Bike,Flower,Flower box,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Water,Trees with columnar shape,Autos,Sky,Palm trees,Dome,Sunshade,merge_E_H_N,merge_B_C_D_,Wall_pixels
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,369706.0,147.0,25960.0,0.0,0.0,19.0,6748.0,0.0,176458.0,0.0,0.0,6.0,5132.0,243.0,712.0
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,4.0,32338.0,278148.0,0.0,44279.0,0.0,0.0,29.0,149886.0,0.0,90223.0,0.0,0.0,0.0,10972.0,38.0,40.0
ChbaghDarDol,0.0,0.0,0.0,0.0,0.0,0.0,271.0,331543.0,0.0,16016.0,0.0,0.0,73816.0,33440.0,0.0,224013.0,0.0,0.0,0.0,65698.0,0.0,1556.0
ChbaghDarDol,347.0,0.0,10.0,0.0,0.0,0.0,2828.0,397885.0,0.0,29207.0,0.0,0.0,0.0,17766.0,329.0,171551.0,0.0,0.0,0.0,8162.0,223.0,320.0
ChbaghDarDol,10097.0,0.0,0.0,0.0,0.0,253.0,47124.0,116944.0,64.0,1707.0,0.0,0.0,63266.0,237477.0,0.0,190126.0,0.0,0.0,17234.0,323.0,0.0,17142.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,79.0,68063.0,168569.0,0.0,15600.0,0.0,0.0,1790.0,171135.0,0.0,1872.0,0.0,0.0,5227.0,0.0,6458.0,328.0
ChbaghL,97572.0,0.0,0.0,0.0,0.0,36.0,36750.0,187759.0,0.0,27506.0,0.0,0.0,209.0,130619.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,4.0,53704.0,353609.0,0.0,7786.0,0.0,0.0,323.0,135161.0,8.0,15261.0,0.0,0.0,0.0,741.0,0.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,0.0,42331.0,307867.0,0.0,4379.0,0.0,0.0,0.0,80249.0,0.0,32.0,0.0,0.0,0.0,22.0,1488.0,204.0
ChbaghL,130.0,0.0,0.0,0.0,0.0,343.0,84526.0,194443.0,0.0,20359.0,0.0,0.0,4911.0,169908.0,0.0,413.0,0.0,0.0,130.0,4611.0,5990.0,24.0
ChbaghL,0.0,1354.0,8357.0,0.0,0.0,1111.0,44248.0,290600.0,11.0,15516.0,0.0,0.0,163.0,121473.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghL,0.0,0.0,201.0,0.0,0.0,203.0,58578.0,171226.0,18.0,18630.0,0.0,0.0,144.0,123711.0,0.0,0.0,0.0,0.0,296.0,1387.0,11647.0,4860.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,196.0,42938.0,275843.0,0.0,2864.0,0.0,0.0,631.0,122005.0,0.0,18.0,0.0,0.0,2529.0,79.0,0.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,0.0,32796.0,341217.0,0.0,10339.0,0.0,0.0,0.0,129083.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghL,76510.0,0.0,0.0,0.0,0.0,323.0,43343.0,155064.0,0.0,33906.0,0.0,0.0,567.0,99977.0,0.0,0.0,0.0,0.0,0.0,0.0,2475.0,157.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,20.0,22174.0,261371.0,425.0,88316.0,0.0,0.0,0.0,150660.0,0.0,115.0,0.0,0.0,0.0,809.0,4.0,780.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,4727.0,67365.0,112186.0,2968.0,39903.0,0.0,0.0,802.0,87256.0,0.0,30.0,0.0,0.0,0.0,1868.0,2861.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,8.0,25027.0,379298.0,0.0,4017.0,0.0,0.0,0.0,63617.0,0.0,9.0,0.0,0.0,0.0,2309.0,0.0,0.0
ChbaghL,834.0,0.0,0.0,0.0,0.0,0.0,38903.0,158428.0,0.0,39573.0,0.0,0.0,0.0,74752.0,0.0,244.0,0.0,0.0,0.0,0.0,2486.0,5781.0
ChbaghL,0.0,1936.0,2115.0,0.0,0.0,15.0,60213.0,342829.0,394.0,1396.0,0.0,0.0,0.0,333406.0,0.0,94.0,0.0,0.0,0.0,3887.0,0.0,0.0
ChbaghL,15377.0,0.0,0.0,0.0,0.0,0.0,3911.0,170235.0,301.0,115487.0,0.0,0.0,71.0,15449.0,0.0,3244.0,0.0,0.0,11.0,13416.0,19822.0,1774.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,275.0,45192.0,311169.0,0.0,6997.0,0.0,0.0,0.0,111823.0,0.0,12221.0,0.0,0.0,0.0,7054.0,0.0,367.0
ChbaghL,2740.0,0.0,0.0,0.0,0.0,0.0,13661.0,77829.0,3144.0,90801.0,0.0,0.0,129.0,71495.0,0.0,23351.0,0.0,0.0,0.0,1907.0,3400.0,46.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,0.0,9948.0,291843.0,3776.0,39419.0,0.0,0.0,0.0,138617.0,0.0,10345.0,0.0,0.0,0.0,21.0,0.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,17.0,54343.0,276556.0,0.0,5312.0,0.0,0.0,139.0,161440.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
